time_ms,a0,a1,a2,a3,a4,roll,pitch
3983,526,468,514,539,906,19.39,-20.34
4003,527,470,517,540,905,19.81,-20.62
4023,525,469,520,537,907,20.05,-20.61
4043,527,470,515,538,905,20.27,-20.55
4063,525,466,520,537,907,20.25,-20.61
4083,527,471,518,535,909,20.23,-20.73
4103,527,470,518,539,908,20.27,-20.72
4123,525,470,520,538,907,20.27,-20.51
4143,526,468,519,537,905,20.26,-20.41
4163,528,469,522,538,908,20.22,-20.33
4183,525,467,519,538,907,20.35,-20.31
4203,527,469,519,537,908,20.14,-20.35
4223,526,466,517,538,905,20.07,-20.44
4243,526,469,518,537,907,20.04,-20.47
4263,524,472,517,542,906,19.90,-20.38
4283,524,467,522,539,907,19.92,-20.40
4303,526,470,517,540,906,20.06,-20.46
4323,526,467,517,538,907,20.03,-20.55
4343,527,470,519,537,898,20.12,-20.57
4363,525,472,518,539,907,20.14,-20.61
4383,522,469,518,537,906,20.28,-20.60
4403,525,468,519,538,908,20.29,-20.62
4423,521,470,518,540,905,20.29,-20.59
4443,525,470,520,536,905,20.24,-20.58
4463,528,471,519,540,908,20.19,-20.55
4483,528,472,525,538,905,20.18,-20.59
4503,527,470,520,538,906,20.17,-20.77
4523,525,470,520,543,906,20.38,-20.86
4543,525,469,518,540,908,20.53,-20.83
4563,524,467,518,537,907,20.56,-20.74
4583,523,468,518,538,905,20.53,-20.69
4603,525,473,519,540,903,20.48,-20.69
4623,527,467,520,538,909,20.37,-20.79
4643,525,468,518,538,907,20.28,-20.86
4663,525,470,517,541,908,20.49,-20.69
4683,526,466,519,538,905,20.46,-20.73
4703,524,469,519,539,908,20.40,-20.82
4723,527,465,520,540,905,20.42,-20.95
4743,526,469,518,538,907,20.40,-21.00
4763,524,470,519,541,906,20.36,-20.76
4783,523,469,519,534,906,20.38,-20.78
4803,526,470,520,537,908,20.34,-20.86
4823,525,469,520,538,905,20.42,-20.89
4843,525,470,519,537,908,20.46,-20.89
4863,525,471,518,540,907,20.46,-20.96
4883,524,472,518,539,906,20.41,-21.00
4903,523,466,519,537,907,20.36,-21.06
4923,524,467,521,541,904,20.27,-21.02
4943,526,470,520,540,906,20.26,-21.02
4963,526,470,519,537,902,20.33,-21.13
4983,524,473,519,539,905,20.47,-21.24
5003,527,469,520,539,908,20.62,-21.30
5023,526,464,520,541,905,20.74,-21.31
5043,525,469,517,539,904,20.80,-21.37
5063,526,469,521,538,906,20.81,-21.45
5083,525,470,520,539,905,20.65,-21.31
5103,526,469,520,540,907,20.67,-21.36
5123,529,469,520,538,907,20.70,-21.42
5143,524,471,517,540,907,20.58,-21.45
5163,525,469,520,538,906,20.67,-21.52
5183,525,471,519,538,908,20.68,-21.45
5203,527,470,520,538,907,20.70,-21.30
5223,526,470,520,541,903,20.67,-21.16
5243,525,470,518,541,908,20.64,-21.02
5263,526,470,518,539,908,20.62,-20.95
5283,528,469,522,539,907,20.61,-20.99
5303,526,469,521,538,906,20.45,-21.09
5323,526,470,521,542,907,20.47,-21.10
5343,524,470,518,539,909,20.58,-21.18
5363,525,468,522,541,906,20.61,-21.27
5383,528,469,518,538,907,20.57,-21.35
5403,523,464,518,541,907,20.56,-21.40
5423,525,469,519,538,906,20.59,-21.38
5443,525,470,520,541,905,20.65,-21.30
5463,527,469,519,540,906,20.66,-21.19
5483,526,469,520,540,905,20.81,-21.10
5503,525,468,518,541,910,20.78,-21.03
