time_ms,a0,a1,a2,a3,a4,roll,pitch
3963,239,488,678,682,901,3.37,-30.78
3983,241,486,671,683,899,3.70,-31.62
4003,238,490,675,685,903,3.58,-31.92
4023,238,489,675,681,902,3.39,-32.20
4043,241,489,677,683,903,3.29,-32.22
4063,242,491,675,683,900,2.97,-32.35
4083,239,492,676,683,906,2.87,-31.94
4103,239,489,675,683,901,2.77,-31.97
4123,239,489,677,680,902,3.06,-31.30
4143,240,489,676,682,901,3.51,-30.79
4163,237,490,676,685,901,3.57,-30.16
4183,241,489,677,682,902,3.44,-30.13
4203,240,488,676,683,903,3.04,-30.65
4223,238,489,675,681,902,2.76,-30.82
4243,239,487,676,684,901,2.79,-30.70
4263,241,491,677,684,901,3.14,-30.37
4283,239,490,675,684,902,3.57,-29.99
4303,241,489,675,683,899,3.70,-29.80
4323,241,492,675,683,903,3.62,-29.96
4343,239,485,676,681,902,3.64,-30.00
4363,239,487,675,685,902,3.76,-29.81
4383,241,488,675,681,902,3.78,-29.66
4403,240,491,677,684,902,3.77,-29.61
4423,239,490,677,681,905,3.70,-29.57
4443,239,488,676,685,902,3.50,-29.72
4463,237,490,677,685,905,3.56,-29.75
4483,239,488,678,679,900,3.70,-29.66
4503,239,490,677,686,901,3.72,-29.59
4523,237,490,678,683,902,3.67,-29.61
4543,240,490,678,683,900,3.71,-29.65
4563,238,491,677,682,901,3.78,-29.69
4583,240,491,678,682,903,3.78,-29.57
4603,239,492,673,683,903,3.73,-29.49
4623,236,490,676,685,901,3.59,-29.48
4643,236,489,678,684,902,3.50,-29.45
4663,239,491,678,685,900,3.49,-29.43
4683,238,492,674,683,901,3.46,-29.38
4703,238,492,676,683,900,3.55,-29.12
4723,239,493,675,684,903,3.68,-28.82
4743,239,487,678,684,903,3.83,-28.45
4763,238,491,678,683,902,3.83,-28.50
4783,238,491,676,683,904,3.69,-28.77
4803,239,492,676,683,903,3.76,-28.83
4823,237,491,677,683,901,3.83,-28.61
4843,238,490,675,683,901,4.31,-28.02
4863,239,494,678,685,900,4.72,-27.64
4883,238,491,677,684,901,4.72,-27.69
4903,239,491,675,682,902,4.55,-27.90
4923,239,492,677,684,902,4.41,-27.77
4943,239,493,676,684,901,4.55,-27.46
4963,238,491,676,684,904,4.62,-27.36
4983,237,492,677,683,902,4.66,-27.22
5003,237,492,675,682,899,4.71,-27.17
5023,240,493,675,683,898,4.63,-27.24
5043,240,491,676,684,904,4.62,-27.33
5063,240,492,674,684,902,4.62,-27.45
5083,239,490,676,682,904,4.63,-27.45
5103,240,489,675,681,903,4.64,-27.41
5123,238,492,674,681,902,4.62,-27.42
5143,238,494,677,684,898,4.60,-27.45
5163,241,491,677,682,901,4.60,-27.44
5183,238,490,679,680,902,4.61,-27.35
5203,240,492,675,681,903,4.65,-27.31
5223,239,493,676,684,904,4.66,-27.34
5243,241,494,675,683,902,4.71,-27.40
5263,239,492,676,683,903,4.77,-27.42
5283,239,488,676,683,900,4.84,-27.52
5303,240,493,677,683,902,4.89,-27.50
5323,240,492,677,683,900,4.91,-27.49
5343,240,493,677,684,903,4.90,-27.46
5363,240,492,676,683,902,4.86,-27.37
5383,240,491,675,683,906,4.85,-27.33
5403,238,490,678,684,901,4.83,-27.33
5423,238,492,677,682,902,4.85,-27.33
5443,240,493,673,683,903,4.85,-27.38
5463,240,493,675,684,903,4.83,-27.39
5483,239,492,677,684,900,4.82,-27.35
5503,239,492,677,683,902,4.84,-27.25
5523,239,495,676,683,900,4.84,-27.17
5543,239,493,672,684,900,4.80,-27.23
5563,239,493,674,683,901,4.76,-27.27
5583,239,491,675,683,900,4.74,-27.33
5603,240,495,677,685,900,4.81,-27.21
5623,240,495,677,685,904,4.89,-27.03
5643,239,494,678,684,902,4.85,-27.06
5663,238,493,675,684,904,4.75,-27.07
5683,239,494,677,683,902,4.71,-27.12
5703,242,494,677,682,901,4.67,-27.16
5723,239,495,675,684,902,4.68,-27.16
5743,240,494,675,684,901,4.70,-27.21
5763,238,495,673,683,900,4.68,-27.17
5783,238,493,677,685,901,4.61,-27.17
5803,239,493,677,682,904,4.57,-27.12
5823,239,493,676,683,900,4.55,-27.05
5843,238,494,677,684,903,4.54,-27.00
5863,237,494,675,682,904,4.50,-27.00
5883,238,494,677,684,903,4.47,-27.06
5903,240,492,677,684,905,4.55,-27.04
5923,239,494,675,682,901,4.63,-26.97
5943,239,492,678,683,900,4.70,-26.98
5963,241,495,677,682,902,4.74,-27.01
5983,241,495,674,683,902,4.91,-26.83
6003,239,495,675,681,904,5.13,-26.47
6023,240,495,676,684,902,5.28,-26.13
6043,239,495,676,689,903,5.29,-25.98
6063,239,494,676,685,899,5.17,-25.94
6083,242,495,676,687,903,5.10,-25.90
6103,239,496,675,684,903,5.20,-25.65
6123,242,495,678,683,899,5.44,-25.25
6143,239,493,674,681,904,5.57,-25.04
6163,239,492,676,684,900,5.50,-25.05
6183,242,495,677,684,900,5.41,-25.11
6203,240,492,676,681,902,5.46,-24.95
6223,238,494,676,683,900,5.54,-24.79
6243,241,493,674,686,902,5.57,-24.66
6263,242,495,676,684,899,5.54,-24.66
6283,240,496,676,681,900,5.45,-24.68
6303,239,494,677,684,902,5.42,-24.68
6323,240,494,676,683,902,5.43,-24.63
6343,240,495,675,682,903,5.47,-24.55
6363,240,492,676,683,901,5.49,-24.51
6383,239,493,675,686,903,5.46,-24.59
6403,240,496,676,683,897,5.42,-24.66
6423,240,495,676,683,903,5.45,-24.64
6443,241,496,675,685,904,5.48,-24.59
6463,240,496,677,683,905,5.44,-24.63
6483,240,494,677,684,902,5.39,-24.69
6503,241,496,676,683,902,5.38,-24.67
6523,239,494,676,683,902,5.39,-24.61
6543,241,496,676,681,902,5.38,-24.56
6563,240,497,675,683,904,5.33,-24.59
6583,240,495,676,683,896,5.28,-24.65
6603,239,495,674,687,903,5.29,-24.69
6623,242,493,676,682,901,5.36,-24.62
6643,239,493,678,685,901,5.42,-24.54
6663,239,496,674,683,900,5.39,-24.59
6683,239,495,676,684,901,5.33,-24.69
6703,239,497,676,683,900,5.30,-24.80
6723,239,495,676,682,902,5.30,-24.80
6743,241,494,676,683,902,5.31,-24.68
6763,240,495,674,680,904,5.37,-24.62
6783,238,495,675,685,900,5.39,-24.69
6803,238,496,675,684,901,5.43,-24.76
6823,241,495,676,683,903,5.45,-24.74
6843,238,496,678,683,899,5.46,-24.76
