time_ms,a0,a1,a2,a3,a4,roll,pitch
3953,536,689,708,522,853,2.21,-8.31
3973,538,689,707,519,853,2.83,-8.60
3993,536,688,708,522,854,2.86,-8.67
4013,536,692,708,522,850,2.77,-8.87
4033,536,687,709,523,850,2.72,-8.83
4053,531,689,708,518,849,2.74,-8.81
4073,535,689,707,518,851,2.84,-8.84
4093,535,689,708,520,850,2.85,-8.86
4113,535,687,708,524,853,2.70,-8.84
4133,538,689,708,521,851,2.61,-8.83
4153,534,690,709,521,852,2.57,-8.82
4173,537,689,706,523,854,2.52,-8.80
4193,535,687,709,525,852,2.63,-8.88
4213,537,687,708,523,850,2.70,-8.84
4233,534,690,708,520,851,2.62,-8.88
4253,537,689,708,522,851,2.68,-8.98
4273,534,692,708,523,848,2.68,-9.00
4293,534,689,708,518,850,2.62,-8.85
4313,535,688,708,522,852,2.68,-8.68
4333,534,688,706,520,855,2.73,-8.65
4353,533,689,705,522,851,2.70,-8.73
4373,532,690,709,521,849,2.69,-8.82
4393,533,690,708,521,849,2.58,-8.88
4413,533,689,708,518,850,2.53,-8.97
4433,538,689,707,522,853,2.56,-9.05
4453,534,688,709,519,853,2.61,-9.07
4473,534,687,707,523,855,2.63,-9.05
4493,533,688,706,518,850,2.69,-9.09
4513,534,690,707,521,851,2.70,-9.16
4533,536,690,708,520,852,2.67,-9.13
4553,536,687,706,522,849,2.70,-9.06
4573,536,688,709,521,851,2.68,-9.03
4593,534,690,708,522,851,2.66,-9.03
4613,537,689,706,521,852,2.58,-9.15
4633,538,689,708,521,852,2.55,-9.13
4653,536,688,707,522,851,2.56,-8.96
4673,538,687,708,521,852,2.62,-8.94
4693,537,687,709,520,849,2.66,-8.96
4713,537,689,708,520,852,2.82,-8.86
4733,537,688,707,522,852,2.90,-8.84
4753,536,689,708,523,852,2.84,-8.87
4773,535,689,707,522,854,2.84,-8.95
4793,536,690,707,519,850,2.88,-9.03
4813,536,689,708,521,852,2.86,-9.03
4833,536,688,708,522,852,2.83,-9.05
4853,536,689,708,520,851,2.78,-9.19
4873,537,689,708,523,850,2.76,-9.31
4893,535,693,709,523,850,2.74,-9.41
4913,533,689,707,523,850,2.77,-9.40
4933,534,689,708,523,848,2.84,-9.33
4953,533,689,707,522,848,2.83,-9.31
4973,537,689,707,523,852,2.79,-9.24
4993,534,690,707,520,851,2.72,-9.10
5013,535,688,707,524,847,2.72,-9.03
5033,534,688,709,522,850,2.74,-9.05
5053,538,687,707,521,853,2.71,-9.09
5073,536,690,708,522,851,2.75,-9.16
5093,536,691,708,520,852,2.78,-9.27
5113,538,687,707,523,851,2.85,-9.37
5133,535,688,708,520,853,2.89,-9.42
5153,536,689,710,522,851,2.98,-9.38
5173,535,689,709,520,849,2.98,-9.30
