time_ms,a0,a1,a2,a3,a4,roll,pitch
3943,221,670,490,472,848,8.31,-19.65
3963,221,674,490,471,850,8.65,-19.84
3983,220,672,490,475,850,8.72,-20.06
4003,219,672,488,474,846,8.90,-20.23
4023,218,674,490,475,846,8.91,-20.32
4043,221,676,490,475,850,8.91,-20.40
4063,222,674,489,475,848,8.86,-20.38
4083,221,674,486,476,848,8.86,-20.36
4103,222,672,488,475,849,8.84,-20.42
4123,221,676,491,475,848,8.87,-20.35
4143,220,674,488,476,850,8.87,-20.21
4163,221,676,489,473,845,8.78,-20.17
4183,221,674,489,474,848,8.74,-20.23
4203,221,672,489,473,848,8.80,-20.23
4223,222,674,489,475,846,8.76,-20.18
4243,221,675,488,476,849,8.76,-20.19
4263,221,674,490,477,851,8.82,-20.39
4283,220,672,490,475,847,8.86,-20.45
4303,222,673,489,476,847,8.82,-20.49
4323,220,673,490,475,845,8.78,-20.48
4343,221,671,490,475,847,8.71,-20.39
4363,221,673,491,475,847,8.67,-20.32
4383,223,674,490,476,844,8.74,-20.24
4403,220,675,489,473,847,8.78,-20.24
4423,221,672,490,474,847,8.76,-20.16
4443,224,674,487,475,849,8.77,-20.09
4463,221,673,488,477,849,8.74,-20.14
4483,223,674,488,476,846,8.74,-20.21
4503,222,671,491,478,848,8.73,-20.26
4523,221,674,488,475,851,8.71,-20.25
4543,223,674,490,474,851,8.74,-20.29
4563,224,674,489,478,842,8.74,-20.28
4583,222,674,491,473,845,8.78,-20.25
4603,220,674,488,473,847,8.80,-20.16
4623,221,675,491,477,850,8.83,-20.12
4643,221,673,489,474,848,8.80,-20.11
4663,222,677,490,475,849,8.79,-20.14
4683,220,673,491,475,848,8.85,-20.19
4703,219,675,489,476,849,8.85,-20.20
4723,221,675,490,476,848,8.78,-20.14
4743,221,674,489,476,847,8.80,-20.12
4763,221,674,488,477,847,8.80,-20.11
4783,220,674,487,474,849,8.78,-20.17
4803,221,675,489,475,846,8.71,-20.21
4823,220,674,491,476,848,8.70,-20.27
4843,218,673,491,475,847,8.74,-20.27
4863,220,676,490,475,849,8.77,-20.26
4883,221,673,490,475,848,8.71,-20.25
4903,220,674,491,474,850,8.62,-20.24
4923,221,674,489,475,849,8.64,-20.24
4943,221,673,490,474,850,8.68,-20.29
4963,220,672,491,472,849,8.70,-20.35
4983,222,673,491,475,850,8.69,-20.38
5003,222,674,490,475,848,8.61,-20.47
5023,220,674,490,475,847,8.60,-20.50
5043,219,675,487,476,848,8.62,-20.50
5063,220,676,490,477,848,8.65,-20.45
5083,220,672,488,477,849,8.65,-20.44
5103,221,673,490,475,849,8.64,-20.40
5123,222,672,491,474,848,8.65,-20.37
5143,221,671,490,475,847,8.66,-20.39
5163,221,673,490,475,850,8.64,-20.34
5183,221,674,491,474,850,8.60,-20.34
5203,217,675,485,476,849,8.58,-20.40
5223,219,674,487,471,847,8.57,-20.46
5243,220,673,489,473,849,8.56,-20.52
5263,221,676,490,477,849,8.57,-20.55
5283,219,670,491,473,850,8.61,-20.52
5303,221,674,488,475,851,8.62,-20.60
5323,219,673,489,472,847,8.60,-20.60
