time_ms,a0,a1,a2,a3,a4,roll,pitch
4783,607,697,707,717,918,41.56,-31.93
4803,607,699,708,718,921,42.34,-32.38
4823,606,699,708,714,921,42.70,-32.54
4843,606,698,705,713,919,42.93,-32.49
4863,605,703,710,716,919,43.06,-32.62
4883,605,699,708,717,921,43.39,-32.77
4903,603,699,706,713,920,43.45,-32.84
4923,606,698,707,717,919,43.56,-32.87
4943,604,701,705,717,921,43.63,-32.98
4963,604,699,708,717,919,43.70,-33.01
4983,606,699,707,717,921,43.70,-33.06
5003,607,699,706,716,915,43.62,-33.09
5023,607,700,708,714,919,43.48,-32.98
5043,605,699,709,717,919,43.33,-32.92
5063,607,699,707,717,922,43.27,-32.79
5083,605,698,707,718,923,43.30,-32.65
5103,607,697,709,716,918,43.37,-32.62
5123,608,698,706,717,919,43.37,-32.57
5143,605,699,708,716,919,43.32,-32.72
5163,605,698,706,718,920,43.24,-32.80
5183,603,700,707,716,920,43.14,-32.86
5203,605,698,707,716,922,43.07,-32.81
5223,604,701,706,715,913,43.00,-32.66
5243,603,698,709,717,918,43.06,-32.56
5263,605,697,707,718,920,43.02,-32.48
5283,604,700,707,713,919,42.90,-32.44
5303,602,698,705,715,920,42.90,-32.40
5323,606,698,709,718,921,42.90,-32.48
5343,604,698,708,717,917,42.81,-32.47
5363,600,698,706,716,917,42.71,-32.49
5383,604,698,706,716,921,42.71,-32.52
5403,606,700,706,717,917,42.65,-32.50
5423,605,701,707,717,919,42.62,-32.45
5443,601,699,707,717,920,42.64,-32.39
5463,603,698,708,716,912,42.69,-32.39
5483,604,698,708,718,920,42.72,-32.31
5503,602,699,706,717,918,42.66,-32.34
5523,602,700,704,717,914,42.67,-32.28
5543,603,697,706,716,919,42.68,-32.32
5563,603,699,708,713,920,42.75,-32.40
5583,603,700,709,717,920,42.76,-32.43
5603,603,702,708,713,919,42.73,-32.38
5623,602,699,708,717,920,42.74,-32.32
5643,605,700,710,715,920,42.68,-32.31
5663,603,699,706,714,922,42.63,-32.33
5683,603,700,709,716,916,42.64,-32.32
5703,601,699,707,715,921,42.70,-32.32
5723,602,700,707,718,918,42.69,-32.36
5743,601,700,708,717,919,42.65,-32.36
5763,602,699,708,718,923,42.61,-32.36
5783,601,699,708,714,915,42.61,-32.34
5803,603,698,707,716,919,42.58,-32.34
5823,602,698,707,719,919,42.57,-32.29
5843,600,699,707,718,918,42.62,-32.24
5863,601,702,709,715,918,42.69,-32.19
5883,602,702,706,715,918,42.71,-32.19
5903,604,699,708,717,920,42.68,-32.16
5923,603,699,705,718,919,42.67,-32.19
5943,604,699,706,713,920,42.66,-32.20
5963,603,702,707,716,917,42.65,-32.21
5983,600,696,707,717,921,42.60,-32.18
6003,603,699,706,716,920,42.55,-32.16
6023,603,703,708,719,919,42.55,-32.12
6043,601,700,707,717,919,42.57,-32.11
6063,601,699,707,720,921,42.57,-32.12
6083,602,698,707,716,918,42.59,-32.14
6103,605,699,711,714,920,42.58,-32.14
6123,601,698,708,716,914,42.66,-32.16
6143,604,699,708,718,922,42.70,-32.20
6163,603,699,708,717,917,42.74,-32.18
6183,605,704,705,716,920,42.78,-32.20
6203,602,697,706,715,917,42.77,-32.21
6223,602,700,707,713,920,42.78,-32.24
6243,603,698,708,715,913,42.89,-32.27
6263,602,699,707,719,915,42.96,-32.29
6283,603,701,707,715,919,43.04,-32.35
6303,602,697,706,716,919,43.14,-32.44
6323,601,698,706,715,918,43.22,-32.51
6343,599,699,707,719,923,43.31,-32.48
6363,601,699,707,718,920,43.51,-32.57
6383,607,699,708,718,920,43.65,-32.52
6403,606,700,707,716,919,43.80,-32.58
6423,606,698,707,716,922,43.96,-32.66
6443,609,698,706,714,921,44.15,-32.70
6463,604,697,707,718,921,44.40,-32.82
6483,607,698,708,717,920,44.65,-32.95
6503,605,701,709,717,920,45.11,-32.74
6523,603,701,709,716,920,45.35,-32.75
6543,604,698,704,716,921,45.53,-32.70
6563,605,701,707,716,923,45.73,-32.68
6583,607,698,704,715,920,45.89,-32.70
6603,601,699,707,715,918,46.03,-32.72
6623,607,703,708,717,919,46.15,-32.72
6643,604,703,710,715,919,46.17,-32.69
6663,607,702,709,713,920,46.23,-32.62
6683,603,697,707,716,918,46.35,-32.62
6703,605,699,708,715,922,46.41,-32.66
6723,603,697,706,719,919,46.59,-32.69
6743,604,700,708,717,920,46.62,-32.68
6763,603,700,708,716,920,46.64,-32.61
6783,604,701,707,717,918,46.66,-32.54
6803,605,697,708,718,918,46.67,-32.54
6823,604,699,707,715,920,46.77,-32.59
6843,604,699,707,717,921,47.03,-32.73
6863,604,701,707,716,921,47.28,-32.82
6883,604,699,706,715,920,47.52,-32.82
6903,603,699,708,718,918,47.50,-32.74
6923,603,696,707,716,920,47.41,-32.67
6943,604,698,709,716,918,47.45,-32.58
6963,605,698,708,717,921,47.52,-32.62
6983,604,698,707,716,919,47.60,-32.65
7003,604,695,708,717,921,47.66,-32.65
7023,604,701,708,716,920,47.68,-32.57
7043,602,701,707,716,925,47.68,-32.56
7063,602,704,707,717,920,47.68,-32.59
7083,604,700,707,716,918,47.68,-32.58
7103,607,697,709,713,920,47.69,-32.56
7123,602,699,707,715,918,47.73,-32.51
7143,603,702,707,717,913,47.77,-32.53
7163,603,700,708,716,913,47.87,-32.55
7183,601,697,708,718,922,47.87,-32.52
7203,602,701,707,716,917,47.90,-32.40
7223,601,700,707,716,922,47.90,-32.37
7243,602,698,709,715,917,47.95,-32.36
7263,602,701,708,717,921,48.00,-32.35
7283,601,698,709,717,921,48.05,-32.33
7303,601,698,708,718,919,48.07,-32.34
7323,598,699,707,719,911,48.09,-32.36
7343,598,699,707,716,922,48.06,-32.34
7363,601,699,707,718,918,48.13,-32.36
7383,600,699,709,716,920,48.29,-32.42
7403,600,700,707,716,919,48.51,-32.52
7423,600,699,708,713,918,48.71,-32.58
7443,598,698,708,717,919,48.93,-32.61
7463,599,700,706,716,919,49.05,-32.56
7483,599,698,706,714,919,49.13,-32.50
7503,598,699,703,716,920,49.05,-32.48
7523,600,699,706,716,915,49.01,-32.52
7543,599,699,707,719,919,49.08,-32.59
7563,598,701,707,716,918,49.16,-32.68
7583,598,699,708,714,918,49.22,-32.71
7603,601,698,709,716,919,49.22,-32.61
7623,600,695,707,718,920,49.18,-32.51
7643,599,699,707,715,920,49.12,-32.53
7663,599,695,708,718,918,49.20,-32.57
7683,599,700,707,716,918,49.26,-32.65
7703,601,700,707,718,919,49.29,-32.67
7723,603,697,708,716,918,49.25,-32.59
7743,599,697,709,717,919,49.19,-32.58
7763,600,701,707,714,915,49.19,-32.59
7783,600,700,707,715,912,49.21,-32.59
7803,599,700,707,716,919,49.23,-32.60
7823,596,698,710,717,919,49.22,-32.57
7843,598,699,708,718,920,49.15,-32.52
7863,599,698,706,715,921,49.08,-32.49
7883,595,700,709,715,921,49.10,-32.50
7903,598,699,707,713,919,49.08,-32.51
7923,601,699,708,715,918,49.08,-32.49
7943,600,697,709,718,915,49.11,-32.46
7963,599,697,706,715,920,49.11,-32.45
7983,598,701,709,716,920,49.06,-32.43
8003,599,699,706,717,919,49.03,-32.40
8023,601,698,705,716,920,49.00,-32.36
8043,598,700,709,718,921,49.00,-32.35
8063,598,700,709,717,919,48.96,-32.34
8083,597,698,706,716,921,48.99,-32.33
8103,596,699,706,717,915,48.95,-32.31
8123,600,701,705,718,918,48.91,-32.26
8143,596,701,708,717,920,48.92,-32.26
8163,597,704,706,716,915,48.91,-32.25
8183,593,700,708,717,920,48.88,-32.21
8203,597,698,706,717,919,48.85,-32.18
8223,594,698,711,716,919,48.83,-32.16
8243,594,698,707,715,919,48.77,-32.13
8263,594,699,708,716,919,48.73,-32.10
8283,596,701,706,717,920,48.67,-32.06
8303,597,699,708,712,919,48.70,-32.04
8323,596,699,706,718,920,48.72,-32.05
8343,595,699,707,715,920,48.68,-32.05
8363,591,703,702,714,919,48.66,-32.04
8383,593,701,709,717,918,48.65,-32.03
8403,594,699,707,715,921,48.61,-31.98
8423,593,697,708,715,920,48.60,-31.97
8443,594,699,709,715,919,48.60,-31.99
8463,594,699,707,717,918,48.63,-32.00
8483,597,702,707,714,921,48.63,-32.02
8503,598,700,706,716,921,48.59,-32.02
8523,596,699,708,717,917,48.55,-32.02
8543,595,702,708,716,920,48.53,-32.05
8563,594,702,704,717,920,48.53,-32.07
8583,597,701,707,714,920,48.54,-32.07
8603,596,698,706,715,922,48.50,-32.03
8623,596,701,706,717,919,48.50,-31.97
8643,597,701,709,716,917,48.48,-31.99
8663,596,700,709,713,918,48.50,-32.05
8683,597,699,707,715,920,48.53,-32.08
8703,592,698,708,715,919,48.47,-32.05
8723,597,704,708,715,918,48.39,-31.98
8743,594,697,707,718,920,48.38,-32.02
